Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2018-01-07 10:19:12;"Pull Day";"Lat Pulldown (Cable)";1;90;lbs;8;;;;0;"";"";1h 2m
2018-01-07 10:19:12;"Pull Day";"Lat Pulldown (Cable)";2;90;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Lat Pulldown (Cable)";3;90;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Bent Over Row (Dumbbell)";1;40;lbs;8;;;;0;"";;1h 2m
2018-01-07 10:19:12;"Pull Day";"Bent Over Row (Dumbbell)";2;40;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Bent Over Row (Dumbbell)";3;40;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Seated Row (Cable)";1;120;lbs;8;;;;0;"";;1h 2m
2018-01-07 10:19:12;"Pull Day";"Seated Row (Cable)";2;120;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Seated Row (Cable)";3;135;lbs;4;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Bicep Curl (Dumbbell)";1;40;lbs;9;;;;0;"";;1h 2m
2018-01-07 10:19:12;"Pull Day";"Bicep Curl (Dumbbell)";2;40;lbs;9;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Bicep Curl (Dumbbell)";3;40;lbs;9;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Rear Deltoid Lateral Raise";1;22.5;lbs;8;;;;0;"";;1h 2m
2018-01-07 10:19:12;"Pull Day";"Rear Deltoid Lateral Raise";2;22.5;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Rear Deltoid Lateral Raise";3;22.5;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Rope Bicep Curl";1;110;lbs;8;;;;0;"";;1h 2m
2018-01-07 10:19:12;"Pull Day";"Rope Bicep Curl";2;110;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Rope Bicep Curl";3;110;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Hammer Curl (Dumbbell)";1;30;lbs;8;;;;0;"";;1h 2m
2018-01-07 10:19:12;"Pull Day";"Hammer Curl (Dumbbell)";2;30;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Hammer Curl (Dumbbell)";3;30;lbs;8;;;;0;;;1h 2m
2018-01-07 10:19:12;"Pull Day";"Running";1;;;;;6;km;240;"";;1h 2m
2018-01-09 08:15:12;"Push Day";"Bench Press (Barbell)";1;170;lbs;3;;;;0;"";"";41m
2018-01-09 08:15:12;"Push Day";"Bench Press (Barbell)";2;170;lbs;3;;;;0;;;41m
2018-01-09 08:15:12;"Push Day";"Bench Press (Barbell)";3;170;lbs;2;;;;0;;;41m
2018-01-09 08:15:12;"Push Day";"Overhead Press (Barbell)";1;60;lbs;8;;;;0;"";;41m
